id,company,category,stipend_inr,deadline_in_days,trust_score,scam_risk_score,skills_required,listed_date
37,IBM,Cloud Engineering,13564,12,80.24,33.55,"python, gcp, docker, kubernetes",2026-06-17
38,Deloitte,Business Operations,23886,8,73.35,18.39,"excel, project management, communication, sql",2026-04-17
39,Cognizant,Business Operations,5973,25,63.18,29.14,"excel, project management, sql, communication",2026-05-25
40,Practo,Data Analytics,26610,21,87.3,1.34,"tableau, python, power bi, excel",2026-04-20
41,BrowserStack,Business Operations,6383,20,77.39,21.85,"sql, reporting, communication, project management",2026-03-28
42,Myntra,Product Management,29742,20,48.37,46.71,"roadmapping, analytics, communication, stakeholder management",2026-04-30
43,Swiggy,Cloud Engineering,21211,19,61.56,25.31,"kubernetes, terraform, gcp, docker",2026-07-04
44,Khatabook,Cloud Engineering,19193,2,52.02,44.68,"kubernetes, terraform, aws, python",2026-05-17
45,Myntra,Product Management,20213,16,76.28,33.94,"communication, roadmapping, analytics, sql",2026-05-30
46,CRED,Data Science,22761,10,45.36,47.45,"machine learning, numpy, sql, pandas",2026-06-14
47,Postman,Cybersecurity,21952,4,37.97,75.59,"network security, threat analysis, python, linux",2026-07-04
48,TCS,Product Management,25306,27,42.19,62.89,"analytics, sql, stakeholder management, communication",2026-04-18
49,Zomato,AI/ML,5790,31,63.86,24.68,"mlops, llms, pytorch, python",2026-03-29
50,Zoho,Business Operations,9279,9,83.47,19.55,"project management, excel, sql, reporting",2026-05-04
51,Cognizant,AI/ML,14695,39,41.02,72.81,"mlops, pytorch, llms, python",2026-06-21
52,Myntra,Marketing,21726,27,79.15,19.79,"copywriting, analytics, content strategy, seo",2026-07-03
53,Myntra,Data Science,26402,21,54.17,45.65,"machine learning, pandas, numpy, sql",2026-05-24
54,Myntra,AI/ML,17950,41,66.68,33.82,"pytorch, mlops, statistics, tensorflow",2026-04-27
55,Khatabook,Product Management,16344,35,51.77,45.36,"communication, stakeholder management, analytics, sql",2026-03-11
56,Byju's,Cloud Engineering,14623,16,50.44,42.1,"aws, docker, gcp, terraform",2026-06-12
57,Paytm,Marketing,26706,14,69.02,45.4,"analytics, content strategy, social media, seo",2026-06-30
58,Infosys,Cybersecurity,34230,31,50.64,63.59,"siem, python, network security, linux",2026-03-20
59,NVIDIA,Business Operations,13537,11,49.39,61.46,"excel, communication, sql, project management",2026-03-01
60,Accenture,Business Operations,23647,10,39.86,52.59,"communication, sql, reporting, project management",2026-05-04
61,Urban Company,UI/UX Design,18874,19,69.75,37.45,"prototyping, design systems, wireframing, figma",2026-03-03
62,Zoho,Data Analytics,32192,11,43.92,53.33,"tableau, power bi, sql, communication",2026-03-07
63,NVIDIA,Cybersecurity,19437,30,79.91,23.85,"siem, python, network security, linux",2026-04-24
64,Myntra,Data Analytics,13579,37,38.4,70.38,"python, power bi, tableau, sql",2026-03-06
65,Intel,UI/UX Design,16058,22,59.95,42.99,"user research, design systems, figma, wireframing",2026-06-22
66,TCS,Product Management,5000,58,67.85,40.05,"communication, sql, analytics, roadmapping",2026-04-25
67,CRED,Business Operations,15835,8,58.28,36.36,"sql, reporting, project management, communication",2026-05-16
68,Juspay,Cybersecurity,15026,37,37.09,50.55,"network security, python, linux, threat analysis",2026-07-06
69,Groww,Marketing,17590,17,70.65,37.15,"copywriting, content strategy, social media, analytics",2026-06-23
70,Amazon,UI/UX Design,24673,5,54.76,44.98,"figma, wireframing, design systems, user research",2026-04-18
71,NVIDIA,UI/UX Design,15615,38,48.89,52.65,"design systems, prototyping, figma, wireframing",2026-06-16
72,Deloitte,Cloud Engineering,21643,46,50.23,34.85,"terraform, python, kubernetes, gcp",2026-06-25
73,Unacademy,UI/UX Design,14842,34,60.95,33.7,"prototyping, wireframing, figma, design systems",2026-05-23
74,IBM,Software Engineering,22706,33,57.01,47.9,"java, sql, python, react",2026-05-24
75,Deloitte,Marketing,33128,20,86.9,0.0,"content strategy, seo, copywriting, analytics",2026-06-30
76,Juspay,AI/ML,10104,28,83.58,27.2,"tensorflow, mlops, python, llms",2026-05-11
77,Zoho,Data Science,9759,57,59.74,28.22,"python, machine learning, pandas, numpy",2026-03-11
78,TCS,Cybersecurity,8772,6,51.72,44.52,"threat analysis, python, linux, network security",2026-03-02
79,Paytm,Data Analytics,36233,27,63.37,39.13,"communication, power bi, tableau, excel",2026-04-18
80,Groww,Software Engineering,29705,43,44.0,54.25,"react, git, sql, nodejs",2026-07-05
81,Groww,Cybersecurity,25005,18,41.08,55.36,"linux, threat analysis, network security, siem",2026-06-19
82,Infosys,Cybersecurity,17595,24,86.91,20.45,"linux, siem, threat analysis, python",2026-02-28
83,PhonePe,Product Management,13269,31,70.81,41.29,"stakeholder management, sql, roadmapping, analytics",2026-03-23
84,Google,Data Analytics,13709,44,77.61,12.66,"python, power bi, communication, sql",2026-05-10
85,Khatabook,Cybersecurity,28550,40,61.69,25.56,"siem, python, linux, threat analysis",2026-03-17
86,Juspay,Data Science,20638,4,42.04,54.01,"numpy, sql, machine learning, statistics",2026-07-03
87,Microsoft,AI/ML,17890,27,58.26,36.83,"tensorflow, mlops, python, statistics",2026-05-10
88,Wipro,Software Engineering,13954,15,41.62,50.43,"sql, nodejs, git, react",2026-06-22
89,Postman,Marketing,11008,41,82.52,20.95,"analytics, seo, copywriting, content strategy",2026-03-13
90,Urban Company,Product Management,15279,20,83.76,4.22,"communication, stakeholder management, roadmapping, analytics",2026-04-17
91,PhonePe,Cybersecurity,41129,37,72.78,31.47,"network security, threat analysis, siem, python",2026-03-11
92,Razorpay,Data Analytics,18126,7,68.42,40.97,"excel, python, sql, communication",2026-04-10
93,Flipkart,Data Analytics,8134,9,42.51,53.23,"python, power bi, sql, tableau",2026-02-22
94,Accenture,Cybersecurity,18420,10,64.99,42.38,"linux, network security, siem, python",2026-06-03
95,Wipro,Business Operations,19505,28,38.29,80.0,"excel, communication, reporting, sql",2026-05-04
96,Google,Data Science,5000,16,38.74,54.51,"sql, numpy, machine learning, statistics",2026-03-25
97,NVIDIA,Marketing,11547,9,83.61,20.92,"content strategy, social media, copywriting, seo",2026-03-17
98,Deloitte,Cloud Engineering,25128,37,58.71,29.14,"python, docker, terraform, gcp",2026-05-29
99,Cognizant,UI/UX Design,24839,19,81.27,20.42,"design systems, user research, wireframing, figma",2026-05-22
100,EY,Cloud Engineering,23832,41,84.48,22.15,"terraform, docker, python, gcp",2026-06-04
101,BrowserStack,Business Operations,24713,13,54.96,46.73,"reporting, sql, communication, excel",2026-03-15
102,Myntra,Business Operations,33379,5,75.05,19.22,"excel, sql, project management, communication",2026-04-26
103,Swiggy,Data Science,20787,8,47.26,50.33,"numpy, statistics, sql, machine learning",2026-07-01
104,Google,Business Operations,5000,41,43.97,59.56,"reporting, communication, project management, sql",2026-03-27
105,Urban Company,UI/UX Design,17216,22,59.51,33.99,"wireframing, user research, figma, design systems",2026-05-15
106,Accenture,Cloud Engineering,24862,3,88.88,19.14,"docker, python, gcp, kubernetes",2026-05-04
107,CRED,UI/UX Design,25522,31,66.85,38.19,"wireframing, figma, prototyping, design systems",2026-06-24
108,Cognizant,UI/UX Design,28987,40,67.68,38.6,"figma, wireframing, design systems, prototyping",2026-06-05
109,Groww,Data Analytics,30856,8,48.87,53.8,"tableau, power bi, python, sql",2026-03-15
110,Zomato,AI/ML,6364,8,65.24,25.57,"tensorflow, pytorch, statistics, python",2026-03-17
111,Meesho,Data Analytics,25534,33,45.1,63.09,"python, communication, tableau, power bi",2026-03-07
112,IBM,Business Operations,32274,40,43.6,43.44,"reporting, project management, communication, excel",2026-05-07
113,BrowserStack,AI/ML,29954,5,82.41,4.9,"python, statistics, mlops, pytorch",2026-05-21
114,Byju's,Business Operations,26002,48,60.63,48.66,"reporting, communication, project management, excel",2026-02-26
115,Urban Company,Software Engineering,35637,16,63.76,26.42,"sql, nodejs, java, react",2026-03-09
116,NVIDIA,AI/ML,32374,18,73.7,12.87,"tensorflow, python, llms, statistics",2026-05-13
117,PwC,Marketing,19267,28,54.0,48.48,"analytics, copywriting, social media, content strategy",2026-03-26
118,Google,Data Analytics,34537,15,71.68,23.18,"communication, python, sql, power bi",2026-05-23
119,BrowserStack,Cloud Engineering,17093,11,54.48,53.51,"aws, python, gcp, terraform",2026-04-11
120,BrowserStack,Data Science,27794,34,37.15,57.95,"pandas, sql, machine learning, python",2026-06-30
121,Paytm,Data Analytics,28719,36,76.11,10.2,"communication, excel, tableau, power bi",2026-03-30
122,Urban Company,Cybersecurity,10017,13,52.64,56.62,"siem, linux, python, threat analysis",2026-04-18
123,NVIDIA,UI/UX Design,23662,19,81.56,27.47,"user research, figma, design systems, prototyping",2026-03-29
124,Byju's,AI/ML,12688,46,83.52,10.04,"tensorflow, mlops, pytorch, statistics",2026-06-28
125,Freshworks,Data Science,28765,45,38.04,62.02,"python, numpy, pandas, statistics",2026-06-02
126,Microsoft,AI/ML,6812,38,80.11,9.02,"mlops, pytorch, llms, statistics",2026-05-12
127,Infosys,Business Operations,23300,12,66.28,40.54,"excel, reporting, project management, sql",2026-03-26
128,Accenture,Data Science,21126,13,38.58,71.52,"sql, python, pandas, numpy",2026-06-13
129,NVIDIA,Data Analytics,12023,13,45.68,59.37,"power bi, sql, python, excel",2026-06-02
130,Wipro,UI/UX Design,26752,27,49.46,36.03,"user research, prototyping, design systems, figma",2026-05-22
131,Deloitte,Business Operations,26986,16,82.33,23.21,"communication, sql, excel, reporting",2026-04-01
132,Wipro,UI/UX Design,27543,15,80.09,31.48,"user research, wireframing, design systems, prototyping",2026-02-27
133,Wipro,Cybersecurity,22107,17,84.35,10.61,"linux, python, siem, threat analysis",2026-02-28
134,Deloitte,Cloud Engineering,16790,51,74.45,21.57,"docker, gcp, kubernetes, terraform",2026-06-23
135,Paytm,Cloud Engineering,15243,8,52.47,50.61,"python, kubernetes, docker, aws",2026-05-02
136,EY,Software Engineering,20015,26,50.65,63.75,"python, sql, git, react",2026-06-07
137,TCS,Data Analytics,28826,35,42.2,49.88,"power bi, tableau, sql, communication",2026-02-24
138,Urban Company,Data Analytics,30551,47,60.3,27.0,"power bi, tableau, communication, python",2026-05-22
139,Zoho,Cybersecurity,23777,11,57.06,44.79,"linux, python, network security, siem",2026-06-28
140,PhonePe,UI/UX Design,21549,9,60.77,51.19,"figma, user research, wireframing, prototyping",2026-03-06
141,Byju's,Data Science,5733,39,80.24,20.02,"pandas, statistics, sql, machine learning",2026-04-01
142,KPMG,Software Engineering,17586,24,61.64,52.85,"python, nodejs, git, java",2026-05-21
143,Practo,UI/UX Design,15045,25,90.43,13.84,"design systems, user research, figma, wireframing",2026-03-20
144,CRED,Data Analytics,26364,22,82.39,18.15,"excel, power bi, communication, tableau",2026-03-02
145,NVIDIA,Marketing,25445,27,42.13,51.95,"copywriting, content strategy, analytics, seo",2026-04-27
146,Deloitte,Data Analytics,16994,38,57.12,33.43,"communication, excel, tableau, power bi",2026-02-26
147,Druva,Software Engineering,29701,28,62.53,46.61,"git, sql, python, nodejs",2026-05-04
148,Zomato,Software Engineering,15546,20,61.47,33.73,"nodejs, git, react, java",2026-06-19
149,KPMG,Data Analytics,18226,13,50.25,42.19,"power bi, tableau, python, sql",2026-03-19
150,IBM,Data Analytics,21643,46,45.82,43.96,"tableau, communication, power bi, excel",2026-05-07
151,Google,Software Engineering,30936,50,68.25,18.21,"react, sql, git, nodejs",2026-04-12
152,Microsoft,Software Engineering,18797,19,76.47,31.45,"sql, python, java, nodejs",2026-04-24
153,NVIDIA,Marketing,30483,34,82.04,21.65,"content strategy, seo, copywriting, analytics",2026-04-28
154,Byju's,AI/ML,26224,46,46.35,53.93,"python, llms, pytorch, tensorflow",2026-03-24
155,Khatabook,AI/ML,17490,42,53.69,49.7,"statistics, tensorflow, llms, mlops",2026-03-23
156,Unacademy,Marketing,21449,21,62.07,23.43,"seo, social media, analytics, content strategy",2026-05-03
157,Khatabook,Software Engineering,20861,51,76.12,26.39,"nodejs, react, sql, python",2026-04-15
158,Wipro,Product Management,33625,25,45.87,52.36,"sql, analytics, communication, stakeholder management",2026-03-16
159,Flipkart,Software Engineering,11806,57,64.95,29.46,"react, git, nodejs, sql",2026-06-18
160,Khatabook,Cybersecurity,20797,12,50.9,43.05,"linux, threat analysis, python, network security",2026-04-20
161,IBM,UI/UX Design,11824,46,51.4,50.8,"wireframing, user research, figma, prototyping",2026-04-27
162,NVIDIA,Software Engineering,23298,48,54.74,43.53,"sql, java, react, git",2026-03-08
163,Byju's,Cybersecurity,20557,27,48.82,56.27,"siem, network security, python, threat analysis",2026-04-18
164,Khatabook,AI/ML,17898,9,35.3,66.22,"mlops, llms, statistics, tensorflow",2026-03-23
165,NVIDIA,Product Management,17015,43,72.18,19.79,"roadmapping, analytics, sql, communication",2026-03-10
166,Juspay,Software Engineering,32394,35,88.39,25.48,"python, nodejs, git, sql",2026-04-04
167,Microsoft,Business Operations,28508,20,64.89,46.79,"project management, communication, sql, excel",2026-07-05
168,Deloitte,Data Science,18859,11,50.41,59.66,"statistics, pandas, sql, numpy",2026-06-13
169,CRED,Cloud Engineering,18607,29,90.96,8.37,"gcp, docker, kubernetes, python",2026-04-04
170,Myntra,UI/UX Design,21673,48,68.2,33.99,"user research, prototyping, figma, design systems",2026-05-04
171,Intel,UI/UX Design,28543,45,74.35,29.81,"user research, prototyping, figma, design systems",2026-05-06
172,Swiggy,UI/UX Design,32270,20,58.7,42.77,"design systems, prototyping, figma, user research",2026-05-22
173,Urban Company,Marketing,14536,44,38.52,62.91,"copywriting, content strategy, seo, social media",2026-03-16
174,Urban Company,Marketing,20664,9,75.86,23.8,"social media, seo, content strategy, copywriting",2026-04-09
175,Postman,Marketing,19341,20,76.23,20.65,"content strategy, seo, social media, copywriting",2026-05-05
176,Cognizant,AI/ML,22739,23,88.27,0.0,"python, tensorflow, mlops, llms",2026-03-03
177,Postman,Data Analytics,10122,20,56.41,49.07,"python, excel, power bi, sql",2026-05-23
178,Unacademy,Data Analytics,33958,18,54.91,35.53,"communication, python, tableau, power bi",2026-03-20
179,Freshworks,Cloud Engineering,22115,14,36.84,67.97,"gcp, aws, terraform, python",2026-03-16
180,Wipro,Data Science,29373,20,48.95,37.38,"sql, pandas, python, machine learning",2026-02-28
181,NVIDIA,Marketing,23770,25,48.5,62.78,"copywriting, content strategy, social media, analytics",2026-05-09
182,Accenture,Cybersecurity,39734,24,70.68,27.13,"linux, python, threat analysis, siem",2026-04-01
183,Postman,Cloud Engineering,26601,33,48.74,43.03,"aws, kubernetes, gcp, docker",2026-06-17
184,Postman,Cloud Engineering,28268,24,57.14,35.51,"gcp, kubernetes, docker, python",2026-03-22
185,PhonePe,Marketing,29380,26,84.8,5.85,"copywriting, content strategy, social media, seo",2026-02-26
186,Intel,AI/ML,24477,48,47.07,43.63,"llms, mlops, pytorch, tensorflow",2026-02-19
187,Razorpay,Business Operations,17287,16,56.7,44.31,"reporting, project management, communication, sql",2026-04-29
188,Microsoft,UI/UX Design,25578,36,78.41,16.19,"user research, wireframing, figma, design systems",2026-06-16
189,TCS,Data Analytics,20735,25,51.83,39.06,"python, excel, tableau, power bi",2026-06-02
190,Meesho,AI/ML,40649,34,90.09,14.16,"pytorch, tensorflow, llms, python",2026-06-21
191,Druva,Marketing,28758,54,46.28,77.58,"seo, social media, copywriting, analytics",2026-03-03
192,Swiggy,Data Science,37365,3,60.99,25.82,"sql, machine learning, statistics, python",2026-06-25
193,Unacademy,Software Engineering,20829,23,65.54,28.06,"nodejs, sql, java, python",2026-04-27
194,Practo,Data Science,21606,10,70.33,22.25,"machine learning, python, numpy, pandas",2026-04-06
195,Zoho,UI/UX Design,27713,30,72.26,38.48,"figma, wireframing, prototyping, user research",2026-03-08
196,Khatabook,Marketing,21648,7,75.06,12.42,"analytics, seo, copywriting, social media",2026-02-18
197,Razorpay,Product Management,31994,24,37.65,49.58,"communication, roadmapping, sql, analytics",2026-04-26
198,Razorpay,Software Engineering,14860,25,87.95,6.03,"react, sql, git, java",2026-05-28
199,Google,Data Analytics,5000,6,48.23,39.05,"python, communication, tableau, excel",2026-06-07
200,Myntra,Software Engineering,21892,35,62.96,32.71,"sql, java, nodejs, python",2026-06-11
201,NVIDIA,Business Operations,25759,8,56.66,51.86,"communication, reporting, sql, excel",2026-03-27
202,Infosys,Data Science,9929,47,55.52,37.58,"pandas, machine learning, sql, numpy",2026-06-09
203,BrowserStack,Marketing,20453,17,69.02,39.51,"seo, analytics, content strategy, social media",2026-03-11
204,Byju's,Data Science,23008,43,67.6,22.49,"pandas, numpy, sql, statistics",2026-04-19
205,Swiggy,UI/UX Design,29878,19,79.61,16.22,"wireframing, prototyping, design systems, figma",2026-06-19
206,Intel,Data Analytics,25307,3,53.94,49.67,"power bi, tableau, communication, excel",2026-05-28
207,Flipkart,Business Operations,18610,30,52.91,61.03,"reporting, communication, project management, excel",2026-06-18
208,PwC,AI/ML,32335,14,55.81,57.16,"statistics, pytorch, python, tensorflow",2026-05-27
209,Razorpay,UI/UX Design,15851,30,73.36,15.82,"user research, prototyping, design systems, wireframing",2026-05-31
210,Cognizant,Cloud Engineering,24503,20,68.19,32.84,"python, kubernetes, gcp, aws",2026-06-18
211,Google,Marketing,26671,29,71.88,14.45,"social media, analytics, content strategy, seo",2026-03-30
212,Microsoft,Software Engineering,25833,14,77.57,24.17,"java, sql, git, nodejs",2026-06-26
213,BrowserStack,UI/UX Design,38286,21,58.71,55.14,"prototyping, user research, design systems, wireframing",2026-05-02
214,Razorpay,UI/UX Design,44638,23,62.14,36.0,"user research, figma, prototyping, wireframing",2026-05-16
215,TCS,Data Science,28746,29,88.01,19.21,"sql, pandas, numpy, machine learning",2026-03-30
216,Groww,Cloud Engineering,12612,13,70.9,19.7,"kubernetes, gcp, aws, python",2026-05-30
217,CRED,Business Operations,12430,12,67.91,41.08,"reporting, project management, excel, sql",2026-03-04
218,Meesho,Data Science,30035,29,65.08,39.09,"sql, machine learning, python, pandas",2026-06-21
219,Groww,AI/ML,11143,31,87.36,15.34,"tensorflow, python, pytorch, mlops",2026-05-03
220,Paytm,Data Science,12138,17,64.12,33.43,"machine learning, statistics, pandas, sql",2026-03-24
221,Paytm,Marketing,13267,10,82.99,20.59,"seo, social media, copywriting, analytics",2026-05-07
222,Byju's,Cloud Engineering,18861,22,58.32,41.43,"kubernetes, python, aws, gcp",2026-06-22
223,TCS,Business Operations,23605,5,65.64,24.4,"communication, excel, reporting, project management",2026-04-14
224,Unacademy,Cybersecurity,16585,37,65.9,41.81,"python, siem, threat analysis, network security",2026-05-20
225,Intel,Product Management,23446,14,60.03,54.79,"analytics, communication, stakeholder management, sql",2026-03-10
226,CRED,Business Operations,20550,11,79.74,29.67,"project management, reporting, communication, sql",2026-03-23
227,Unacademy,Business Operations,32910,15,89.29,11.15,"excel, sql, communication, project management",2026-04-25
228,Flipkart,Cybersecurity,41376,30,49.23,57.11,"python, threat analysis, network security, siem",2026-03-21
229,PwC,Cloud Engineering,11174,41,57.96,49.53,"docker, kubernetes, terraform, aws",2026-03-11
230,Infosys,Business Operations,25368,40,76.66,22.09,"reporting, excel, project management, sql",2026-03-11
231,CRED,Product Management,26235,16,54.25,48.09,"sql, stakeholder management, communication, roadmapping",2026-04-29
232,Microsoft,Software Engineering,13667,27,35.93,76.95,"sql, python, nodejs, react",2026-06-13
233,Intel,Data Analytics,32059,14,49.27,46.88,"excel, sql, tableau, power bi",2026-05-19
234,Freshworks,Cybersecurity,37629,19,75.11,9.92,"siem, threat analysis, linux, python",2026-03-11
235,Infosys,Software Engineering,17056,54,74.56,24.77,"python, nodejs, react, java",2026-06-04
236,Intel,AI/ML,8106,10,46.25,62.19,"pytorch, mlops, tensorflow, statistics",2026-03-22
237,Swiggy,Product Management,31696,20,39.94,48.07,"communication, sql, analytics, stakeholder management",2026-04-12
238,Flipkart,AI/ML,16660,13,49.15,53.88,"tensorflow, python, llms, statistics",2026-03-09
239,BrowserStack,Marketing,24999,28,63.21,25.17,"copywriting, seo, analytics, social media",2026-04-18
240,IBM,AI/ML,29391,10,55.83,49.66,"python, llms, statistics, mlops",2026-06-03
241,Razorpay,Cybersecurity,24737,35,51.33,55.05,"python, threat analysis, network security, linux",2026-06-25
242,Google,Cybersecurity,22699,15,87.49,26.74,"linux, python, threat analysis, network security",2026-06-26
243,CRED,Cybersecurity,20054,7,87.7,0.78,"network security, linux, python, threat analysis",2026-03-10
244,Infosys,Data Science,6635,31,44.34,69.25,"statistics, numpy, pandas, machine learning",2026-02-18
245,Myntra,Data Analytics,21570,43,56.09,42.84,"sql, tableau, python, power bi",2026-05-12
246,Accenture,AI/ML,18012,22,55.96,36.7,"statistics, python, pytorch, tensorflow",2026-03-30
247,Infosys,Marketing,37342,13,55.75,56.86,"seo, social media, copywriting, content strategy",2026-06-16
248,Postman,Product Management,26356,44,50.46,36.87,"communication, roadmapping, sql, stakeholder management",2026-05-08
249,Wipro,Marketing,24898,21,79.09,15.23,"social media, seo, content strategy, copywriting",2026-04-29
250,Intel,Cybersecurity,21139,32,61.44,41.31,"siem, threat analysis, network security, linux",2026-04-19
251,TCS,Cloud Engineering,22786,38,89.21,0.0,"python, docker, gcp, kubernetes",2026-02-18
252,Zoho,Marketing,29336,19,90.44,0.0,"seo, content strategy, analytics, social media",2026-03-03
253,Groww,AI/ML,25326,8,71.32,25.51,"python, mlops, pytorch, llms",2026-03-22
254,Meesho,Cybersecurity,21463,39,74.94,32.12,"linux, siem, network security, threat analysis",2026-05-27
255,Microsoft,Data Analytics,24684,21,41.88,53.87,"tableau, power bi, communication, excel",2026-05-31
256,Google,Data Science,25972,11,60.17,56.34,"python, pandas, numpy, sql",2026-05-04
257,Accenture,Marketing,19256,54,89.27,21.37,"copywriting, content strategy, seo, social media",2026-02-23
258,Flipkart,Data Science,16428,9,82.33,32.15,"machine learning, numpy, python, sql",2026-03-03
259,Meesho,Business Operations,24743,57,86.44,11.86,"reporting, excel, communication, sql",2026-04-07
260,Zomato,Software Engineering,20433,45,61.76,45.26,"java, nodejs, git, react",2026-06-06
261,Swiggy,UI/UX Design,32853,13,63.44,48.05,"figma, user research, prototyping, design systems",2026-05-02
262,PhonePe,Cloud Engineering,24401,28,49.2,65.62,"gcp, kubernetes, docker, aws",2026-06-30
263,Druva,Marketing,16244,16,45.25,49.32,"analytics, seo, content strategy, copywriting",2026-04-26
264,Freshworks,Business Operations,30580,51,49.13,43.11,"excel, sql, reporting, communication",2026-03-13
265,Paytm,AI/ML,26800,36,87.1,0.0,"statistics, llms, pytorch, tensorflow",2026-05-18
266,Druva,Product Management,31584,23,62.95,24.75,"analytics, roadmapping, stakeholder management, communication",2026-04-01
267,Deloitte,Software Engineering,26667,10,87.37,22.96,"python, java, react, nodejs",2026-04-02
268,KPMG,Marketing,19352,49,75.16,29.71,"analytics, copywriting, content strategy, seo",2026-05-22
269,CRED,Data Analytics,27288,28,75.31,26.55,"python, power bi, excel, communication",2026-04-01
270,Paytm,Business Operations,5000,18,42.26,64.61,"project management, communication, reporting, excel",2026-05-02
271,IBM,Data Analytics,40420,13,88.39,0.83,"excel, power bi, python, sql",2026-03-14
272,Deloitte,Data Science,12029,20,46.95,58.84,"python, statistics, sql, pandas",2026-04-24
273,Postman,UI/UX Design,38311,22,55.02,41.24,"design systems, prototyping, figma, wireframing",2026-05-23
274,Wipro,Data Science,18792,15,49.88,38.26,"machine learning, pandas, python, numpy",2026-05-08
275,Deloitte,Data Science,12837,21,59.59,45.02,"machine learning, pandas, python, statistics",2026-02-23
276,Razorpay,AI/ML,15854,51,74.74,31.92,"tensorflow, llms, statistics, python",2026-05-31
277,Accenture,Data Science,14097,22,55.57,42.26,"statistics, sql, machine learning, python",2026-03-01
278,TCS,Data Science,28298,12,90.69,8.51,"machine learning, statistics, sql, numpy",2026-05-01
279,Google,Cybersecurity,17022,17,56.06,42.32,"python, linux, network security, siem",2026-05-24
280,Accenture,Business Operations,15837,10,39.89,55.43,"project management, sql, reporting, excel",2026-03-12
281,Practo,Cloud Engineering,13359,40,67.64,24.42,"kubernetes, gcp, aws, terraform",2026-06-17
282,Paytm,UI/UX Design,26847,47,90.41,18.84,"wireframing, figma, user research, prototyping",2026-03-30
